customer_id,products_purchased,complains,money_spent
1002388,4,0,2661
1002410,10,1,686
1000660,3,1,683
1001913,7,3,887
1002164,5,3,4669
1002380,8,2,3043
1002411,1,3,4798
1000661,7,0,2864
1001915,10,2,3543
1002165,6,3,2237
1002387,3,2,4659
1002411,7,0,1697
1000661,2,3,2574
1001914,11,2,2805
1002167,12,0,4481
1002387,4,1,804
1002419,3,2,1058
1000660,1,0,3874
1001913,5,0,1258
1002166,6,3,1903
1002388,12,0,956
1002410,10,2,1259
1000660,1,2,2233
1001913,12,3,4614
1002164,5,3,2978
1002380,5,3,851
1002411,1,0,1866
1000661,4,0,1279
1001915,1,2,3741
1002165,12,0,646
1002387,4,0,784
1002411,5,2,3701
1000661,4,1,4804
1001914,8,2,2733
1002167,2,2,4186
1002387,8,0,708
1002419,12,1,3600
1000660,1,2,1203
1001913,1,3,1176
1002166,8,1,1206
1002388,2,2,1704
1002410,10,1,2114
1000660,3,3,2005
1001913,8,1,2758
1002164,3,0,1403
1002380,1,2,4798
1002411,7,2,2519
1000661,11,0,4598
1001915,9,0,643
1002165,2,0,2266
1002387,7,1,1781
1002411,5,3,1796
1000661,10,3,3594
1001914,8,1,1109
1002167,2,0,1278
1002387,5,1,3709
1002419,11,1,2543
1000660,1,0,990
1001913,8,2,4257
1002166,1,2,4075
1002388,6,0,4202
1002410,2,3,1337
1000660,8,3,935
1001913,1,0,1617
1002164,11,1,1948
1002380,8,2,4816
1002411,2,2,3291
1000661,2,2,3942
1001915,1,0,588
1002165,10,3,1018
1002387,8,1,3348
1002411,7,3,1631
1000661,4,1,557
1001914,9,2,4379
1002167,10,2,1694
1002387,11,1,2379
1002419,10,1,2102
1000660,9,2,1564
1001913,6,3,2109
1002166,2,0,1319
1002388,3,2,4735
1002410,2,3,2515
1000660,2,3,4001
1001913,10,3,4183
1002164,5,1,3951
1002380,6,2,2975
1002411,3,0,4763
1000661,5,3,525
1001915,10,1,3259
1002165,1,1,2600
1002387,10,1,2568
1002411,3,0,1469
1000661,9,2,3986
1001914,4,3,4629
1002167,9,0,556
1002387,7,3,2485
1002419,7,1,986
1000660,7,1,574
1001913,7,3,3887
1002166,5,3,2834
1002388,12,2,2891
1002410,12,3,2245
1000660,6,1,3977
1001913,7,0,3273
1002164,9,1,870
1002380,7,2,2733
1002411,4,3,3959
1000661,4,1,736
1001915,5,1,2989
1002165,1,3,1843
1002387,1,2,3507
1002411,12,1,4260
1000661,5,1,1540
1001914,9,0,2330
1002167,3,3,1862
1002387,11,1,4610
1002419,5,0,3114
1000660,1,1,4864
1001913,6,1,3587
1002166,11,3,4599
1002388,9,2,4246
1002410,6,3,4242
1000660,5,3,1143
1001913,9,0,2767
1002164,12,3,968
1002380,5,0,4962
1002411,8,3,2062
1000661,1,3,2119
1001915,12,0,2032
1002165,9,0,2440
1002387,6,2,2809
1002411,12,0,3082
1000661,12,1,4828
1001914,2,2,3678
1002167,9,0,847
1002387,10,2,1883
1002419,10,3,3484
1000660,6,0,1837
1001913,8,3,3606
1002166,2,0,4552
1002388,1,3,3035
1002410,7,2,4351
1000660,1,2,1668
1001913,8,1,1955
1002164,1,3,2912
1002380,7,2,519
1002411,12,1,867
1000661,3,3,2037
1001915,12,2,4179
1002165,12,3,4028
1002387,7,2,4025
1002411,3,1,2490
1000661,6,1,3424
1001914,4,0,3632
1002167,11,3,2527
1002387,2,1,3173
1002419,6,1,3435
1000660,5,3,4140
1001913,12,1,2752
1002166,5,0,4478
1002388,11,0,1328
1002410,2,2,4479
1000660,12,3,958
1001913,4,1,4559
1002164,2,2,2707
1002380,5,1,1686
1002411,3,0,1181
1000661,4,1,807
1001915,11,2,4183
1002165,8,1,1718
1002387,3,0,1793
1002411,4,3,2299
1000661,12,2,1833
1001914,6,2,3854
1002167,6,1,683
1002387,10,1,712
1002419,11,3,4702
1000660,7,1,1524
1001913,3,0,4357
1002166,4,3,4486
1002388,1,3,2243
1002410,4,1,3650
1000660,8,0,4206
1001913,3,2,4341
1002164,4,1,4987
1002380,12,1,3936
1002411,2,0,3504
1000661,11,3,3022
1001915,1,3,1432
1002165,9,2,1374
1002387,4,3,1864
1002411,8,0,633
1000661,4,1,3378
1001914,3,2,2227
1002167,7,2,1569
1002387,2,2,1425
1002419,3,1,4763
1000660,9,1,1772
1001913,2,2,3046
1002166,4,2,2663
1002388,11,3,606
1002410,4,1,2192
1000660,1,3,4141
1001913,3,0,550
1002164,12,1,3855
1002380,7,0,3668
1002411,5,1,2543
1000661,4,1,2584
1001915,11,0,2225
1002165,12,1,2173
1002387,10,2,4529
1002411,2,2,4595
1000661,1,3,4030
1001914,12,3,3252
1002167,6,1,1127
1002387,1,2,1649
1002419,7,0,1806
1000660,11,0,3627
1001913,3,1,1227
1002166,2,3,1398
1002388,9,0,1383
1002410,3,3,2230
1000660,5,0,1719
1001913,11,1,2879
1002164,8,1,4809
1002380,10,2,4304
1002411,8,2,4316
1000661,7,3,2184
1001915,10,1,3265
1002165,9,0,1646
1002387,5,3,4671
1002411,2,1,2723
1000661,3,1,3146
1001914,11,3,1122
1002167,1,1,550
1002387,12,2,3184
1002419,12,1,4586
1000660,12,0,4469
1001913,9,3,3401
1002166,11,2,3473
1002388,10,0,4520
1002410,11,0,3349
1000660,1,3,1549
1001913,12,3,1890
1002164,9,2,1138
1002380,5,0,3048
1002411,2,3,3858
1000661,12,0,2648
1001915,3,1,3039
1002165,12,1,3429
1002387,11,1,1122
1002411,11,0,1374
1000661,2,3,1662
1001914,9,2,3098
1002167,3,2,4349
1002387,1,2,1045
1002419,12,0,4205
1000660,8,3,2983
1001913,4,2,1366
1002166,10,2,4533
1002388,7,0,1088
1002410,4,3,3278
1000660,1,3,4423
1001913,8,2,1956
1002164,4,0,2720
1002380,10,1,3065
1002411,12,3,4372
1000661,1,3,4310
1001915,9,3,2462
1002165,7,2,3233
1002387,7,1,3878
1002411,1,0,3567
1000661,10,3,1063
1001914,12,0,934
1002167,5,3,2109
1002387,11,2,4030
1002419,3,1,707
1000660,4,0,702
1001913,5,3,3024
1002166,9,1,3135
1002388,1,1,4803
1002410,11,3,2219
1000660,2,0,2373
1001913,9,1,2176
1002164,11,2,3773
1002380,12,3,4695
1002411,12,0,3848
1000661,10,2,4708
1001915,3,2,2306
1002165,12,3,863
1002387,8,2,938
1002411,4,3,2886
1000661,8,1,1356
1001914,11,3,1385
1002167,8,0,4521
1002387,7,1,685
1002419,1,3,3295
1000660,10,1,4514
1001913,3,1,2631
1002166,12,3,2811
1002388,5,3,862
1002410,2,0,1322
1000660,3,3,519
1001913,7,3,2023
1002164,5,2,2890
1002380,5,2,1794
1002411,7,3,3381
1000661,9,0,4025
1001915,3,0,3458
1002165,3,2,4281
1002387,5,0,2505
1002411,2,3,1681
1000661,11,1,3528
1001914,8,3,2716
1002167,9,1,4284
1002387,4,3,1526
1002419,2,2,1179
1000660,4,2,1490
1001913,8,3,567
1002166,2,0,3558
1002388,7,1,918
1002410,10,0,778
1000660,2,1,966
1001913,1,3,4345
1002164,9,2,1294
1002380,12,3,3234
1002411,5,3,1415
1000661,6,0,532
1001915,3,3,4687
1002165,4,3,1574
1002387,9,3,2982
1002411,4,1,1206
1000661,11,0,2823
1001914,11,3,3262
1002167,11,1,4918
1002387,1,0,2963
1002419,4,3,2167
1000660,8,3,4615
1001913,11,1,4653
1002166,3,1,3693
1002388,2,1,1324
1002410,6,0,863
1000660,3,0,3154
1001913,8,1,2943
1002164,9,3,2285
1002380,11,1,2406
1002411,10,3,4600
1000661,11,3,953
1001915,3,1,1438
1002165,2,0,1980
1002387,4,1,4756
1002411,5,3,4369
1000661,3,3,3688
1001914,9,3,3273
1002167,3,3,881
1002387,6,1,3339
1002419,1,1,3028
1000660,8,1,800
1001913,7,3,731
1002166,12,1,2775
1002388,4,0,4803
1002410,3,0,4120
1000660,4,1,4532
1001913,12,3,3752
1002164,2,3,4778
1002380,6,1,2203
1002411,7,1,3205
1000661,2,0,1539
1001915,11,2,1217
1002165,11,0,2481
1002387,8,0,3061
1002411,9,2,1822
1000661,6,2,3524
1001914,2,0,1283
1002167,8,2,3572
1002387,8,3,3630
1002419,12,3,4959
1000660,1,2,2983
1001913,2,1,4929
1002166,1,3,3998
1002388,12,2,1504
1002410,12,2,2000
1000660,7,0,3114
1001913,3,3,4281
1002164,1,0,4586
1002380,7,0,3926
1002411,1,1,3245
1000661,1,0,1953
1001915,6,2,3101
1002165,10,1,1576
1002387,1,2,2826
1002411,6,0,3117
1000661,3,2,3426
1001914,2,3,721
1002167,2,3,965
1002387,8,3,720
1002419,8,0,1235
1000660,10,2,1494
1001913,9,0,866
1002166,8,2,4281
1002388,7,3,4635
1002410,1,3,640
1000660,5,3,4381
1001913,7,3,2952
1002164,1,1,502
1002380,8,2,4129
1002411,4,3,725
1000661,8,2,4937
1001915,1,2,1654
1002165,12,1,2660
1002387,1,0,4859
1002411,9,3,3117
1000661,8,0,578
1001914,1,3,3204
1002167,2,1,3441
1002387,7,3,4588
1002419,9,2,4031
1000660,12,0,2832
1001913,6,0,2373
1002166,1,3,2348
1002388,9,2,2439
1002410,12,3,2073
1000660,6,0,2567
1001913,5,1,4323
1002164,9,0,3497
1002380,11,1,1383
1002411,6,1,4260
1000661,9,2,4443
1001915,8,2,1097
1002165,1,2,1969
1002387,7,0,2812
1002411,7,2,4295
1000661,9,1,1893
1001914,10,0,582
1002167,3,2,4019
1002387,11,2,1983
1002419,6,3,4940
1000660,6,0,2051
1001913,2,2,4359
1002166,5,1,1429
1002388,8,3,4079
1002410,8,3,2131
1000660,6,2,3260
1001913,3,2,3461
1002164,3,0,907
1002380,7,1,4086
1002411,7,0,2223
1000661,2,0,2767
1001915,11,1,4477
1002165,3,0,2823
1002387,12,3,2282
1002411,3,0,3929
1000661,6,0,3700
1001914,6,2,3445
1002167,7,3,2013
1002387,10,0,2098
1002419,8,1,1582
1000660,10,3,3475
1001913,12,0,4680
1002166,5,3,2174
1002388,3,2,3709
1002410,10,0,1429
1000660,1,0,777
1001913,5,1,2167
1002164,12,3,1743
1002380,12,2,4544
1002411,4,2,1970
1000661,10,2,2778
1001915,3,0,4847
1002165,10,0,2619
1002387,8,1,1697
1002411,1,2,2047
1000661,4,2,2493
1001914,2,3,3159
1002167,12,2,2725
1002387,7,3,3823
1002419,8,2,2142
1000660,11,0,4535
1001913,9,3,1108
1002166,2,3,895
1002388,6,3,3682
1002410,4,1,2740
1000660,5,2,977
1001913,8,0,2563
1002164,5,3,1521
1002380,9,3,3491
1002411,12,2,3400
1000661,11,0,3970
1001915,8,0,2390
1002165,7,1,1688
1002387,8,1,4492
1002411,10,2,4756
1000661,9,1,2910
1001914,10,0,3770
1002167,10,1,2578
1002387,3,3,4021
1002419,11,0,2601
1000660,11,2,1949
1001913,1,3,2398
1002166,9,3,2597
1002388,6,2,1868
1002410,1,2,4685
1000660,10,0,2564
1001913,8,3,790
1002164,4,2,506
1002380,8,2,551
1002411,5,1,688
1000661,2,3,760
1001915,9,1,1169
1002165,11,2,2518
1002387,7,3,1688
1002411,10,3,4938
1000661,6,1,3512
1001914,4,3,815
1002167,6,3,4135
1002387,2,2,4229
1002419,1,0,2790
1000660,4,3,737
1001913,2,1,2567
1002166,10,1,678
1002388,6,0,1344
1002410,5,0,4799
1000660,6,3,1353
1001913,9,1,1141
1002164,2,0,3171
1002380,6,0,4478
1002411,3,3,3217
1000661,10,1,3106
1001915,2,3,4686
1002165,1,0,2999
1002387,4,1,4077
1002411,10,1,1254
1000661,8,0,2118
1001914,3,2,3325
1002167,11,3,1370
1002387,9,3,3676
1002419,12,1,4318
1000660,9,1,2701
1001913,2,1,1539
1002166,11,0,4624
1002388,8,3,1635
1002410,11,3,3556
1000660,9,0,942
1001913,10,3,4991
1002164,9,3,3437
1002380,1,1,2376
1002411,12,0,2269
1000661,12,1,1555
1001915,12,1,1673
1002165,7,3,4132
1002387,5,0,1498
1002411,12,3,2201
1000661,2,3,2125
1001914,7,2,4106
1002167,2,1,2837
1002387,11,3,4169
1002419,4,1,1663
1000660,3,3,1248
1001913,12,3,1420
1002166,10,1,1705
1002388,4,3,3788
1002410,8,0,3535
1000660,11,3,3559
1001913,8,0,2569
1002164,8,1,1100
1002380,12,1,4368
1002411,11,1,1989
1000661,9,0,512
1001915,9,0,809
1002165,8,2,2685
1002387,2,2,4910
1002411,8,3,780
1000661,10,1,3497
1001914,5,1,1131
1002167,10,3,3899
1002387,8,3,2037
1002419,9,0,1889
1000660,10,0,2161
1001913,7,1,3881
1002166,4,3,3572
1002388,11,0,2392
1002410,8,2,2202
1000660,7,2,3371
1001913,2,1,3763
1002164,4,3,531
1002380,9,0,4510
1002411,5,3,2596
1000661,6,2,3582
1001915,2,0,2438
1002165,5,2,1644
1002387,3,3,3956
1002411,6,1,686
1000661,7,2,562
1001914,10,1,4849
1002167,11,3,2164
1002387,4,1,4415
1002419,8,2,2823
1000660,3,2,4338
1001913,5,2,573
1002166,12,0,2293
1002388,8,2,1748
1002410,12,2,1371
1000660,5,0,3701
1001913,7,1,4659
1002164,9,3,4935
1002380,6,2,3383
1002411,8,2,811
1000661,11,0,3754
1001915,2,0,2210
1002165,10,1,4835
1002387,5,0,3288
1002411,7,1,4015
1000661,12,0,1105
1001914,7,0,721
1002167,4,2,1443
1002387,12,2,3159
1002419,7,0,1326
1000660,11,1,3658
1001913,7,3,3010
1002166,8,2,1730
1002388,11,0,2976
1002410,1,0,2348
1000660,11,2,1040
1001913,7,1,1841
1002164,7,1,4815
1002380,6,2,3793
1002411,7,3,1665
1000661,2,0,919
1001915,10,1,1689
1002165,6,2,2632
1002387,3,1,4522
1002411,6,2,2636
1000661,1,3,1904
1001914,9,2,1459
1002167,5,0,662
1002387,12,2,3615
1002419,11,0,1519
1000660,7,1,2811
1001913,8,3,3747
1002166,2,2,2166
1002388,4,0,582
1002410,6,3,2035
1000660,9,0,2777
1001913,11,2,4570
1002164,5,1,4413
1002380,10,3,1498
1002411,8,3,1633
1000661,9,2,4067
1001915,3,0,3938
1002165,7,1,836
1002387,11,0,1347
1002411,1,0,1837
1000661,10,2,2755
1001914,5,1,3268
1002167,7,1,4660
1002387,12,1,1407
1002419,1,0,1531
1000660,7,3,4239
1001913,2,1,793
1002166,12,2,534
1002388,2,3,2076
1002410,2,3,1714
1000660,12,3,3092
1001913,9,2,876
1002164,4,3,3331
1002380,2,2,1858
1002411,6,0,4781
1000661,8,1,1384
1001915,4,2,2374
1002165,2,0,4376
1002387,4,0,4113
1002411,4,3,1638
1000661,3,1,4341
1001914,2,3,2725
1002167,11,2,734
1002387,12,1,4525
1002419,10,3,4654
1000660,8,1,3737
1001913,10,2,1525
1002166,12,0,4793
1002388,2,0,2118
1002410,6,2,4199
1000660,8,2,1997
1001913,8,0,3354
1002164,1,0,3919
1002380,8,1,2867
1002411,5,2,4038
1000661,2,3,832
1001915,8,3,3815
1002165,8,0,3408
1002387,3,1,4859
1002411,1,0,4556
1000661,10,0,4954
1001914,12,2,694
1002167,11,2,545
1002387,12,0,829
1002419,5,0,3748
1000660,10,2,3475
1001913,6,2,3682
1002166,5,2,2414
1002388,6,2,3291
1002410,2,1,1486
1000660,9,2,2254
1001913,1,3,4424
1002164,4,1,1839
1002380,10,2,1728
1002411,8,1,4850
1000661,12,2,1626
1001915,5,2,3039
1002165,4,1,2614
1002387,9,1,531
1002411,9,0,4286
1000661,2,0,4645
1001914,12,2,2487
1002167,3,0,2869
1002387,10,2,1659
1002419,3,1,3423
1000660,5,3,1387
1001913,2,1,3803
1002166,2,1,5000
1002388,4,3,2464
1002410,11,0,1911
1000660,6,1,3922
1001913,9,0,2456
1002164,11,2,3801
1002380,3,1,1619
1002411,4,1,3387
1000661,10,0,4461
1001915,9,0,3582
1002165,9,1,4203
1002387,10,2,4224
1002411,9,2,2699
1000661,9,1,580
1001914,5,2,718
1002167,1,1,1293
1002387,4,1,2008
1002419,3,3,4916
1000660,11,3,4171
1001913,1,1,4079
1002166,9,1,1954
1002388,2,3,2285
1002410,8,2,4651
1000660,11,0,1345
1001913,9,0,912
1002164,1,3,4623
1002380,5,2,1794
1002411,8,1,4962
1000661,6,1,4624
1001915,2,2,2046
1002165,9,2,675
1002387,4,0,1981
1002411,11,0,3037
1000661,8,0,615
1001914,9,0,3781
1002167,2,1,3920
1002387,5,2,2533
1002419,7,3,1587
1000660,7,3,4952
1001913,1,2,1207
1002166,11,1,3975
1002388,11,0,1858
1002410,7,3,2777
1000660,12,1,3495
1001913,7,3,978
1002164,8,2,2195
1002380,7,0,2601
1002411,6,1,4140
1000661,1,3,3564
1001915,12,1,2098
1002165,4,2,1265
1002387,3,0,1759
1002411,8,0,1020
1000661,9,0,564
1001914,8,1,2834
1002167,1,2,4181
1002387,1,0,3128
1002419,3,3,4046
1000660,3,0,2359
1001913,10,1,2671
1002166,12,3,4032
1002388,6,3,1483
1002410,3,3,4607
1000660,11,3,2518
1001913,1,1,1422
1002164,12,2,1240
1002380,4,3,730
1002411,11,0,3689
1000661,4,0,4825
1001915,8,0,3675
1002165,4,2,1642
1002387,1,0,2148
1002411,4,1,4459
1000661,12,1,4310
1001914,1,1,2093
1002167,9,1,2407
1002387,3,2,1813
1002419,3,0,3143
1000660,10,1,968
1001913,6,0,662
1002166,12,3,2361
1002388,7,0,3520
1002410,9,2,3061
1000660,9,0,4700
1001913,12,2,2476
1002164,1,1,1110
1002380,10,2,3365
1002411,4,0,2721
1000661,11,1,3736
1001915,9,0,1859
1002165,7,3,1241
1002387,5,3,3570
1002411,4,1,1093
1000661,5,2,3953
1001914,3,2,2278
1002167,4,0,990
1002387,9,2,2293
1002419,8,0,1980
1000660,3,1,2254
1001913,5,0,1666
1002166,9,3,1451
1002388,10,2,4679
1002410,2,1,1620
1000660,10,0,3039
1001913,7,3,4218
1002164,10,0,548
1002380,8,2,731
1002411,3,3,1802
1000661,11,0,1731
1001915,11,2,697
1002165,7,1,2224
1002387,7,0,1823
1002411,12,2,3268
1000661,2,1,4176
1001914,7,1,2924
1002167,9,3,2977
1002387,1,2,4304
1002419,7,0,960
1000660,9,1,3414
1001913,1,3,4286
1002166,3,3,3238
1002388,8,2,4293
1002410,5,3,882
1000660,2,1,3988
1001913,3,2,1366
1002164,2,3,3398
1002380,3,2,2454
1002411,5,3,4083
1000661,2,3,1183
1001915,7,2,2915
1002165,6,3,1698
1002387,12,3,1575
1002411,2,2,2047
1000661,7,2,4703
1001914,12,1,3269
1002167,3,2,2574
1002387,6,0,3255
1002419,6,1,3235
1000660,4,1,1003
1001913,12,2,1903
1002166,3,2,714
1002388,9,2,2364
1002410,11,2,627
1000660,10,0,1883
1001913,5,1,1091
1002164,12,0,2236
1002380,1,3,610
1002411,3,3,4226
1000661,9,0,2673
1001915,7,3,3480
1002165,5,3,4797
1002387,5,1,3135
1002411,12,2,4347
1000661,5,2,2822
1001914,2,1,2688
